Advent of Code answers (for given input)
----------------------------------------
Day | Part 1        	| Part 2
----------------------------------------
  1 | 864864        	| 281473080 
  2 | 586           	| 352 
  3 | 294           	| 5774564250 
  4 | 196           	| 114 
  5 | 944           	| 554 
  6 | 6249          	| 3103 
  7 | 289           	| 30055 
  8 | 1528          	| 640 
  9 | 258585477     	| 36981213 
 10 | 1820          	| 3454189699072 
 11 | 2249           	| 2023 
 12 | 820            	| 66614 
 13 | 3966           	| 800177252346225 
 14 | 18630548206046 	| 4254673508445 
 15 | 1696           	| 37385 
 16 | 25788         	| 3902565915559 
 17 | 209           	| 1492 
 18 | 2743012121210 	| 65658760783597 
 19 | 136           	| 256 
 20 | 13983397496713 	| ? 
 21 | 2324          	| bxjvzk,hqgqj,sp,spl,hsksz,qzzzf,fmpgn,tpnnkc 
 22 | 33631         	| 33469 
 23 | 69425837      	| ? 
 24 | 420           	| 4206 
 25 | 17980581      	| ? (need 25*)
